time,T,I,logV
0,98.88073,150,10.465117
2,156.91153,87.30024,9.527346
4,211.32606,58.03384,8.564059
6,255.07201,45.9605,8.007065
8,286.43135,41.58016,8.469156
10,326.82337,41.36055,7.651181
12,336.99724,43.72866,8.034653
14,334.87945,47.72769,8.072944
16,339.35577,52.51469,7.715521
18,338.01306,57.24101,8.2462
20,325.20697,61.16304,8.198271
22,312.08376,63.8281,8.906009
24,300.5441,65.16523,8.992165
26,308.47174,65.41349,7.982721
28,304.87787,64.95494,8.907291
30,304.35656,64.16246,8.372564
32,303.714,63.31757,8.585873
34,308.87921,62.59132,8.8834
36,297.72081,62.06076,8.254013
38,308.30082,61.73687,8.898881
40,306.58502,61.59156,8.954857
42,310.05261,61.57819,8.258072
44,307.63334,61.64688,8.517612
46,303.93585,61.75367,8.355507
48,308.10545,61.86538,8.548915
50,310.4022,61.96099,9.017772
52,299.92673,62.03045,9.068358
54,304.02294,62.07215,9.127496
56,308.69359,62.08987,8.568586
58,302.49883,62.09007,8.436036
60,294.96059,62.07965,8.285076
